context_size,prompt_tokens,prompt_per_second,predicted_per_second,total_time
92,92,46.869883117468106,4.297605991722273,0
169,169,47.947056486614045,4.231690335480476,0
246,246,48.76945790530745,4.231703765925422,0
323,323,48.04458537522821,4.330204039214328,0
400,400,46.50145966270136,4.236982929195778,0
477,477,43.419282503359746,4.329922797476521,0
554,554,41.66764675244377,4.297323197380352,0
631,631,40.587656900752705,4.322049991531483,0
708,708,40.522690419063444,4.294189558946474,0
785,785,39.54000938756352,4.358566162489526,0
862,862,38.177339901477836,4.346465454292569,0
939,939,37.965955560236665,4.30201662406774,0
1016,1016,37.507153582114654,4.2632094879858755,0
1093,1093,35.766059970452616,4.2767849696669025,0
1170,1170,35.85311326461101,4.389258059020707,0
1247,1247,35.03721573939545,4.389230364915126,0
1324,1324,34.40781923241705,4.382587868832432,0
1401,1401,33.82243114544027,4.258749934455177,0
1478,1478,32.76095021550893,4.319633435906629,0
1555,1555,32.15775974522756,4.357336447376448,0
1632,1632,31.71426876103606,4.233984820105924,0
1709,1709,31.016159419057328,4.214993099265985,0
1786,1786,30.21131842680894,4.321955425512719,0
1863,1863,29.450771610216187,4.302087184485598,0
1940,1940,29.14058310306789,4.3768824013765295,0
2017,2017,28.458342723821424,4.378784569819993,0
2094,2094,28.369975597245183,4.339313721262556,0
2171,2171,27.501469332534903,4.337290478373321,0
2248,2248,27.43480583016174,4.337179960168424,0
2325,2325,26.595288344400405,4.237570939586011,0
2402,2402,26.466240389446458,4.202276583339024,0
2479,2479,25.721167608255,4.146892254149549,0
2556,2556,25.1975979373734,4.014044136924063,0
2633,2633,24.789152266967974,3.9082050566799653,0
2710,2710,23.95952849193704,4.035423960380207,0
2787,2787,23.457073177744835,3.989291743637142,0
2864,2864,23.0915314787854,3.949710313434199,0
2941,2941,22.071023842757484,3.9692128009097436,0
3018,3018,21.73090134170791,3.956459166868611,0
3095,3095,21.50690562457615,3.920512587418242,0
3172,3172,20.93335764303898,3.8931836923294787,0
3249,3249,20.288940694771867,3.9546647124031877,0
3326,3326,19.667667179929335,3.932097589747056,0
3403,3403,19.443983608094594,3.901295278798752,0
3480,3480,18.777033628455808,3.85633512709155,0
3557,3557,18.603584910812312,3.875637572659121,0
3634,3634,17.687905466703945,3.7535961210337687,0
3711,3711,17.752636481267103,3.7960802624230285,0
3788,3788,17.166825828984635,3.689231157309508,0
3865,3865,16.771679018196732,3.7332212122562587,0
3942,3942,16.383790828671,3.7211586943942607,0
4019,4019,15.985483118685252,3.6729782206165185,0
4095,4095,15.554600536533368,3.721944909756483,0
